layer,position,p10,p50,p90,mean,std
4,8,3.7835420608520516,10.483757019042969,19.277815437316892,11.176428622404734,6.070162370768936
4,9,3.382511520385742,10.036824226379395,19.025395584106445,10.707898150020176,6.018569881427103
4,10,3.284049940109253,9.498440742492676,17.828845691680907,10.113441202640534,5.612231209061944
4,11,3.0328930377960206,8.97791862487793,17.30136947631836,9.727130119138295,5.587846520560654
4,12,2.715034866333008,8.387378692626953,16.536083984374997,9.116601357460022,5.377964871188635
4,13,2.6429186820983888,7.9769439697265625,15.671314239501953,8.694018381569121,5.098451870186966
4,14,2.6669225692749023,7.7848310470581055,15.1659912109375,8.47994000726276,4.8838088721802
4,15,2.536307239532471,7.555027008056641,14.95016860961914,8.212409228616291,4.833042921837636
4,16,2.484552574157715,7.27589225769043,14.68609390258789,8.08809169544114,4.860065579387214
4,17,2.304245758056641,7.231937408447266,14.44401626586914,7.9055006668302745,4.798702197920197
4,18,2.0630274772644044,6.846038818359375,14.202582550048827,7.5955909676022,4.796878676767701
4,19,1.847052955627442,6.1408538818359375,13.295049476623534,6.96373037510448,4.55165899041496
4,20,1.7987148761749268,5.995875835418701,13.341785049438474,6.8920707342359755,4.61882439204681
4,21,1.6202232360839848,5.808628082275391,13.01981143951416,6.6885231390264295,4.466874891344776
4,22,1.4719606399536134,5.6386871337890625,12.472549819946288,6.452652481794357,4.425052987056201
4,23,1.5589126586914062,5.377336502075195,12.308268547058105,6.296002467340894,4.342528660304109
4,24,1.3485966682434083,5.163082122802734,11.67839479446411,5.945969213379754,4.1352016402919585
4,25,1.3025070190429688,5.227678298950195,11.9153076171875,6.024472528828515,4.256228058536212
4,26,1.1219131469726562,4.855050086975098,12.03822135925293,5.8503830807738835,4.314141065345984
4,27,1.0744386672973634,5.106808662414551,12.598221206665036,6.068504127528932,4.578473473793292
4,28,1.1572699546813965,4.993782043457031,12.136040592193604,5.914724724027845,4.326276636419497
4,29,1.230427360534668,4.973950386047363,12.052038192749023,5.9259415565596685,4.307992371901968
4,30,0.8904808044433595,4.671144485473633,11.345023727416992,5.574731450213326,4.145925412954494
4,31,0.8267911911010742,4.410947799682617,10.888182830810546,5.267214000489977,3.9398942647304964
4,32,0.4312923431396486,4.323961496353149,10.950958251953125,5.20644809656673,4.16861662441275
4,33,0.493050765991211,4.315473556518555,10.864346313476561,5.163751861121919,4.0848833388895445
4,34,0.8880420684814453,4.401859283447266,11.184488296508789,5.384642846054501,4.204978558775627
4,35,0.5484390258789062,4.239686965942383,11.035907745361328,5.17573263115353,4.149086237663791
4,36,0.3814985275268558,4.024320602416992,10.826748752593994,4.975032744142744,4.044216726357844
4,37,0.5904383659362794,4.1197099685668945,11.033124732971189,5.114040168258879,4.109106472357578
4,38,0.2730905532836914,4.176790237426758,10.864776229858398,5.043002629015181,4.087909795865871
4,39,0.4180322647094728,4.21517276763916,11.08137550354004,5.151636900107066,4.17011326638706
5,0,17.11843595504761,38.268444776535034,62.90831003189086,46.70848000758224,36.04781687568214
5,1,2.5578548431396486,10.28425407409668,20.22773036956787,12.001794907119539,10.501142347830285
5,2,3.360135841369629,10.175224304199219,20.05037040710449,12.16792675614357,10.148037819364383
5,3,3.0339613914489747,9.649210929870605,18.960811042785636,11.551964284380277,10.018178420950802
5,4,2.881624221801758,8.707941055297852,17.48100109100341,10.655049912664625,9.296264618086964
5,5,2.644969415664673,8.28395700454712,17.294668960571286,10.23287440776825,9.083718134317783
5,6,2.720370435714722,7.991002798080444,16.15039005279541,9.806272562212413,8.604790452947237
5,7,2.700307416915894,7.900629043579102,16.80403232574463,9.823363464275996,8.753664152756574
5,8,2.7195550918579103,7.6400556564331055,16.245212745666503,9.552209750943714,8.258700695201204
5,9,2.4897390842437743,7.377755165100098,16.444206047058106,9.347129335535897,8.298092947829717
5,10,2.5308165550231934,7.1818013191223145,15.796021842956542,9.049071898592842,7.887734714698282
5,11,2.4709336280822756,6.855318069458008,15.77252330780029,8.818014504644605,7.791484679070084
5,12,2.2922699928283694,6.650291919708252,15.112906455993652,8.446944739951027,7.507186753547445
5,13,2.11347713470459,6.225430488586426,14.398469161987302,8.026700007783042,7.228760709027762
5,14,2.20578031539917,6.19973611831665,13.433194541931151,7.828911216523912,6.900632509180101
5,15,2.033647251129151,5.909981727600098,13.118986511230467,7.585404086245431,6.9411819063388345
5,16,2.067420864105225,5.915167808532715,13.521845245361328,7.65028073641989,7.006710642612144
5,17,1.8418487548828126,5.584178924560547,12.966522979736325,7.151013073126475,6.528520566175825
5,18,1.829715156555176,5.374688148498535,12.904437828063966,7.018419316742155,6.530557741361104
5,19,1.5684447288513184,4.939550399780273,11.979232788085934,6.524959691630469,6.202371293821689
5,20,1.713242530822754,5.080141067504883,12.128617858886718,6.6477077462938094,6.235866174036318
5,21,1.3262417793273926,4.721490383148193,11.91243438720703,6.276001527375645,6.075211473865083
5,22,1.4161011695861816,4.667439699172974,11.319334411621094,6.130768575668335,5.945574876272835
5,23,1.2981405258178713,4.43376350402832,11.649709701538086,5.999541625446743,5.935995158976241
5,24,1.085951805114746,4.2711873054504395,11.016992568969727,5.789734387132857,5.998701236529582
5,25,1.1035423278808594,4.2870073318481445,10.781380653381348,5.774089255332947,5.745937113899662
5,26,0.9617670059204102,4.198184013366699,11.369618225097653,5.7684006656540765,6.052411420310175
5,27,1.1558988571166993,4.315567970275879,11.036172199249267,5.8795353668265875,6.0613038230648195
5,28,0.9523658752441406,4.257165431976318,11.199527740478514,5.817501802047094,6.028722920693593
5,29,1.019431209564209,4.292407512664795,11.201707458496092,5.828840098778406,5.981985518213125
5,30,0.9257303237915039,4.108638763427734,10.43410129547119,5.503645047744115,5.630679642600384
5,31,0.7727889060974122,3.8876047134399414,10.436216354370117,5.408694580793381,5.728308407982769
5,32,0.7246568679809574,3.8759007453918457,10.264694786071777,5.390059939225515,5.919529595285384
5,33,0.7100333213806155,3.831724166870117,10.555957412719726,5.409476025766796,5.924939420508805
5,34,0.8865115165710452,3.9516053199768066,10.683197021484371,5.5372100645966,6.012728515406311
5,35,0.7817661285400391,3.76973295211792,10.529017066955566,5.349169693787893,5.832020635863985
5,36,0.4581773757934571,3.5683178901672363,10.49360237121582,5.037873902718226,5.629438377156912
5,37,0.336644744873047,3.5447440147399902,10.424830627441406,5.134151094092263,5.9611554591008185
5,38,0.538008499145508,3.719440460205078,10.501326751708984,5.239781966871686,5.767279910390658
5,39,0.5420822143554689,3.962235450744629,11.068328857421875,5.57108568933275,6.301602740909828
6,0,5.644925689697265,17.757864356040955,23.227714586257935,15.843774488998784,6.461409504738472
6,1,1.1681864976882934,5.240888595581055,8.685307121276855,5.051200500196881,2.9936850614561075
6,2,1.0948628425598146,4.5241899490356445,7.638937473297119,4.3971737217572,2.5241054472667557
6,3,1.1449507236480714,4.442211866378784,7.267012023925781,4.299047778281901,2.3937667455290694
6,4,1.0343976259231569,3.8819589614868164,6.93500633239746,3.905306871102916,2.326556967568999
6,5,1.061709523200989,3.7996139526367188,6.8482386589050295,3.8617114682164457,2.2899846418775347
6,6,1.0356331586837768,3.6077892780303955,6.732279682159423,3.730495560699039,2.247461137009386
6,7,1.0785304069519044,3.648005962371826,6.768901062011719,3.7721692539089258,2.2769393812241128
6,8,1.017298412322998,3.443203926086426,6.795862293243408,3.7026911773284277,2.3184677914977794
6,9,0.9966451644897462,3.3355627059936523,6.672596168518066,3.638246142367522,2.292316288861676
6,10,0.9784016847610474,3.288074493408203,6.726689720153808,3.6187352184785735,2.292072420154974
6,11,0.9346213102340698,3.156157970428467,6.485535049438477,3.4793302030033537,2.2509479736921745
6,12,0.9397564888000488,3.1018333435058594,6.438289928436279,3.4482043868800005,2.210602498015438
6,13,0.9027269124984741,2.9056901931762695,6.186606931686401,3.301635049217277,2.198604458859273
6,14,0.8937702178955079,2.925560474395752,6.041623401641845,3.250715060846673,2.142002901023252
6,15,0.8412201404571533,2.7968740463256836,6.02619547843933,3.172124058968491,2.1687337223477527
6,16,0.8412684679031373,2.7980055809020996,5.909015846252442,3.1452108414802287,2.0987851139052234
6,17,0.8290956258773804,2.6623525619506836,5.914755678176879,3.055939705686437,2.1088215773041874
6,18,0.7820542335510254,2.5999343395233154,5.9756178855896,3.028567253185643,2.1377117820460505
6,19,0.6477691411972046,2.4300971031188965,5.621359109878539,2.8380299650629364,2.0598737485126466
6,20,0.7110331296920777,2.425184488296509,5.618768692016602,2.862249351888895,2.055970964169859
